cc_exp,cc_name,cc_number,menu_item_name,menu_item_price,payment_amount,payment_authorized_at,payment_id,payment_method,qr_code
03/21,Georgetta Brown,3088339425024727,HARVEST BOWL,9.99,0.0,2015-01-17 18:00:52,1,cash,4482617388843
03/21,Georgetta Brown,3088339425024727,GUACAMOLE GREENS,9.99,0.0,2015-01-21 06:48:00,1,mobile-app,4482617388843
03/21,Georgetta Brown,3088339425024727,HARVEST BOWL,9.99,0.0,2015-01-21 06:48:00,1,mobile-app,4482617388843
03/21,Georgetta Brown,3088339425024727,CUSTOM,9.99,0.0,2015-01-28 13:07:07,1,credit-card,4482617388843
03/21,Georgetta Brown,3088339425024727,CUSTOM,9.99,0.0,2015-01-28 13:07:07,1,credit-card,4482617388843
03/21,Georgetta Brown,3088339425024727,EARTH BOWL,9.99,0.0,2015-02-09 21:50:52,1,mobile-app,4482617388843
03/21,Georgetta Brown,3088339425024727,GUACAMOLE GREENS,9.99,0.0,2015-02-15 07:06:51,1,cash,4482617388843
03/21,Georgetta Brown,3088339425024727,ORGANIC BUTTERNUT SQUASH,9.99,0.0,2015-02-15 07:06:51,1,cash,4482617388843
03/21,Georgetta Brown,3088339425024727,SPICY SABZI,9.99,0.0,2015-02-15 12:44:15,1,credit-card,4482617388843
03/21,Georgetta Brown,3088339425024727,SPICY SABZI,9.99,0.0,2015-02-15 12:44:15,1,credit-card,4482617388843
03/21,Georgetta Brown,3088339425024727,WILD CHILD,9.99,0.0,2015-03-22 14:35:35,1,mobile-app,4482617388843
03/21,Georgetta Brown,3088339425024727,HARVEST BOWL,9.99,0.0,2015-03-31 01:32:25,1,cash,4482617388843
03/21,Georgetta Brown,3088339425024727,HUMMUS TAHINA,9.99,0.0,2015-04-26 01:13:38,1,credit-card,4482617388843
03/21,Georgetta Brown,3088339425024727,KALE CAESAR,9.99,0.0,2015-04-26 01:13:38,1,credit-card,4482617388843
03/21,Georgetta Brown,3088339425024727,ORGANIC BUTTERNUT SQUASH,9.99,0.0,2015-05-19 12:19:45,1,cash,4482617388843
03/21,Georgetta Brown,3088339425024727,GUACAMOLE GREENS,9.99,0.0,2015-05-19 12:19:45,1,cash,4482617388843
03/21,Georgetta Brown,3088339425024727,ORGANIC LENTIL CHICKPEA SOUP,9.99,0.0,2015-07-07 19:14:56,1,credit-card,4482617388843
03/21,Georgetta Brown,3088339425024727,CURRY CAULIFLOWER + QUINOA,9.99,0.0,2015-07-07 19:14:56,1,credit-card,4482617388843
03/21,Georgetta Brown,3088339425024727,RAD THAI,9.99,0.0,2015-07-09 14:19:05,1,credit-card,4482617388843
03/21,Georgetta Brown,3088339425024727,HUMMUS TAHINA,9.99,0.0,2015-07-09 14:19:05,1,credit-card,4482617388843
03/21,Georgetta Brown,3088339425024727,ORGANIC LENTIL CHICKPEA SOUP,9.99,0.0,2015-07-17 21:20:18,1,mobile-app,4482617388843
03/21,Georgetta Brown,3088339425024727,RAD THAI,9.99,0.0,2015-08-24 18:50:56,1,cash,4482617388843
03/21,Georgetta Brown,3088339425024727,CUSTOM,9.99,0.0,2015-08-24 18:50:56,1,cash,4482617388843
03/21,Georgetta Brown,3088339425024727,ROASTED TURKEY + BRUSSELS SPROUTS,9.99,0.0,2015-08-28 09:08:11,1,mobile-app,4482617388843
03/21,Georgetta Brown,3088339425024727,WILD CHILD,9.99,0.0,2015-10-01 17:21:50,1,credit-card,4482617388843
03/21,Georgetta Brown,3088339425024727,HUMMUS TAHINA,9.99,0.0,2015-11-05 00:59:10,1,mobile-app,4482617388843
03/21,Georgetta Brown,3088339425024727,GUACAMOLE GREENS,9.99,0.0,2015-11-05 00:59:10,1,mobile-app,4482617388843
